"Na programação orientada a objetos, o que é um 'objeto'?",É uma coleção de dados e comportamentos associados que modela algo do mundo real ou abstrato.
Qual é a diferença fundamental entre uma 'classe' e um 'objeto'?,"Uma classe é um projeto ou modelo para criar objetos, enquanto um objeto é uma instância específica de uma classe."
O que representa a 'multiplicidade' em um diagrama de classes UML?,Indica quantos objetos de uma classe podem estar associados a um objeto de outra classe.
"Em OOP, os dados que descrevem as características individuais de um objeto são chamados de _____.",atributos
"As ações que podem ser executadas em um objeto, definidas em sua classe, são conhecidas como _____.",métodos
"Qual princípio de OOP se refere a esconder os detalhes de implementação de um objeto, expondo apenas uma interface pública?",Encapsulamento (ou ocultação de informação).
O que é 'abstração' no contexto da programação orientada a objetos?,"É o processo de lidar com o nível de detalhe mais apropriado para uma tarefa, extraindo uma interface pública dos detalhes internos."
Que tipo de relacionamento OOP é descrito como 'uma parte de' e é usado quando um objeto é composto por vários outros?,Composição.
Qual é a diferença entre 'agregação' e 'composição'?,"Na composição, o objeto contido não pode existir independentemente do contêiner, enquanto na agregação, sim."
"O relacionamento 'é um', onde uma classe herda atributos e métodos de outra, é conhecido como _____.",herança
"Qual conceito permite que um objeto de uma subclasse seja tratado como um objeto de sua superclasse, com comportamentos diferentes dependendo da subclasse real?",Polimorfismo.
O que é 'herança múltipla'?,"É a capacidade de uma subclasse herdar de mais de uma classe pai, combinando a funcionalidade de ambas."
"Qual problema comum pode surgir com a herança múltipla, especialmente quando várias superclasses herdam de uma mesma classe base?",O problema do diamante (diamond problem).
Qual palavra-chave é usada para iniciar a definição de uma classe em Python?,A palavra-chave `class`.
"Qual é a convenção de nomenclatura para nomes de classes em Python, de acordo com o PEP 8?","CamelCase, onde cada palavra começa com uma letra maiúscula."
Como você cria uma instância (objeto) de uma classe chamada `Ponto` em Python?,"Atribuindo o nome da classe seguido de parênteses a uma variável, como `p = Ponto()`."
Qual é o primeiro argumento obrigatório de qualquer método de instância em uma classe Python?,"Um argumento que se refere à própria instância do objeto, convencionalmente chamado de `self`."
O que acontece se você esquecer de incluir o parâmetro `self` na definição de um método de instância?,Python levantará um `TypeError` indicando que o método recebeu um argumento a mais do que o esperado.
Qual é o nome do método especial em uma classe Python que é chamado para inicializar um objeto recém-criado?,O método `__init__`.
Qual é a diferença entre os métodos `__new__` e `__init__` em Python?,"`__new__` é o construtor que cria o objeto, enquanto `__init__` é o inicializador que configura o objeto após sua criação."
Como se define um 'docstring' para uma classe ou método em Python?,Colocando uma string literal como a primeira linha logo após a definição da classe ou método.
"Em Python, um arquivo `.py` que contém definições e instruções é chamado de _____.",módulo
O que é um 'pacote' (package) em Python?,É uma coleção de módulos contidos em um diretório que inclui um arquivo especial `__init__.py`.
Qual é a sintaxe para uma 'importação absoluta' de uma classe `Produto` do módulo `produtos` dentro do pacote `ecommerce`?,`from ecommerce.products import Product`.
O que o ponto inicial em `from .database import Database` significa em uma importação?,"Indica uma 'importação relativa', referindo-se a um módulo no mesmo pacote que o módulo atual."
Por que a prática `from modulo import *` é fortemente desencorajada em Python?,"Porque polui o namespace local, dificulta a leitura do código e pode introduzir conflitos de nomes inesperados."
"Qual é o propósito do bloco `if __name__ == ""__main__"":` em um script Python?","Ele permite que o código dentro do bloco seja executado apenas quando o arquivo é executado diretamente, e não quando é importado como um módulo."
Qual é a convenção em Python para indicar que um atributo ou método é para uso interno e não parte da API pública?,"Prefixar o nome com um único sublinhado (underscore), como em `_variavel_interna`."
"O que o prefixo de duplo sublinhado (double underscore), como `__variavel`, faz com um atributo de classe em Python?","Ativa o 'name mangling', que altera o nome do atributo para `_NomeDaClasse__variavel`, tornando-o mais difícil de ser acessado externamente."
Qual é a sintaxe para definir uma subclasse `Fornecedor` que herda da superclasse `Contato` em Python?,`class Fornecedor(Contato):`
"Uma variável definida diretamente no escopo da classe, fora de qualquer método, é chamada de _____ e é compartilhada por todas as instâncias da classe.",variável de classe
"Como você pode adicionar nova funcionalidade a um tipo de dado embutido do Python, como `list`?","Criando uma nova classe que herda do tipo embutido, por exemplo, `class MinhaLista(list):`."
O que significa 'sobrescrever' (override) um método em uma subclasse?,Significa fornecer uma nova implementação para um método que já existe na superclasse.
Qual função é usada dentro de uma subclasse para chamar um método da sua superclasse?,A função `super()`.
"Um 'mixin' é uma classe projetada para ser herdada por outras classes para fornecer funcionalidade extra, sendo um caso de uso comum para _____.",herança múltipla
A ordem em que o Python procura métodos em uma hierarquia de herança complexa é chamada de _____.,Ordem de Resolução de Métodos (Method Resolution Order ou MRO).
